Change,Excluded,Original,en,it,
,,Royal Meat Honey,Royal Meat Honey,Miele di carne reale,
NEW,,"A specialized honey produced 
from carnivourous plants",,,
,,Serpent Gastrolith,Serpent Gastrolith,Gastrolite di serpente,
NEW,,"A peculiar stone found in the 
stomach of an ancient snake.",,,
,,Moonphase Tree Resin,Moonphase Tree Resin,Resina lunare,
NEW,,"Rare resin that drips from 
trees only during specific lunar phases.",,,
,,Nightstalker's Eye,Nightstalker's Eye,Occhio del cacciatore notturno,
NEW,,"The eye of a jungle predator 
that hunts in complete darkness.",,,
,,Journalist's Endless Notepad,Journalist's Endless Notepad,Blocco note infinito del giornalista,
NEW,,"A high-quality notepad with 
special paper that never runs out.",,,
,,Deadline Coffee,Deadline Coffee,Caffè deadline,
NEW,,"A premium blend of coffee that
keeps the mind sharp and alert.",,,
,,Investigator's Camera,Investigator's Camera,Telecamera dell'investigatore,
NEW,,"A compact camera with 
exceptional clarity and zoom capabilities.",,,
,,Truth-Revealing Solution,Truth-Revealing Solution,Soluzione della verità,
NEW,,"A set of specialized chemicals
that reveal hidden text and fingerprints.",,,
,,Press Badge Collection,Press Badge Collection,Raccolta di credenziali,
NEW,,"A collection of press 
credentials from various organizations.",,,
,,Invisible Ink Pen,Invisible Ink Pen,Penna a inchiostro invisibile,
NEW,,"A specially formulated ink 
that renders writing temporarily invisible.",,,
,,Covert Recorder,Covert Recorder,Registratore nascosto,
NEW,,"A compact audio recorder with 
enhanced sensitivity and noise filtering.",,,
,,Orator's Elixir,Orator's Elixir,Elisir dell'Oratore,
NEW,,"A specialized tonic that 
heightens mental acuity and verbal eloquence.",,,
,,Informant Network Directory,Informant Network Directory,Directory della rete di informatori,
NEW,,"A network of contacts in 
various sectors of society.",,,
,,Undercover Disguise Kit,Undercover Disguise Kit,Kit di travestimento sotto copertura,
NEW,,"A small kit containing 
disguise materials and quick-change accessories.",,,
,,Calming Tea,Calming Tea,Tè calmante,
NEW,,"A specially crafted herbal tea
that calms nerves and restores focus.",,,
,,Field Analysis Kit,Field Analysis Kit,Kit di analisi sul campo,
NEW,,"A portable device that can 
detect and analyze various substances.",,,
,,Memory Sage,Memory Sage,Salvia della memoria,
NEW,,"A rare herb that enhances 
memory and helps organize thoughts.",,,
,,Investigative Laptop,Investigative Laptop,Laptop investigativo,
NEW,,"A compact, durable laptop with
specialized software for investigations.",,,
,,Precision Digital Scale,Precision Digital Scale,Bilancia digitale di precisione,
NEW,,"A digital scale with perfect 
accuracy and tamper-proof calibration.",,,
,,Discrete Packaging Kit,Discrete Packaging Kit,Kit di imballaggio discreto,
NEW,,"A collection of small, 
unmarked packaging materials.",,,
,,Street Network Contacts,Street Network Contacts,Contatti della rete stradale,
NEW,,"A network of reliable street 
informants who provide crucial intelligence.",,,
,,Underground Energy Drink,Underground Energy Drink,Bevanda energetica sotterranea,
NEW,,"A synthetically enhanced 
energy beverage that keeps you alert and focused.",,,
,,Encrypted Burner Phone,Encrypted Burner Phone,Telefono usa e getta crittografato,
NEW,,"A specially modified 
smartphone with encryption and secure messaging.",,,
,,Trace Removal Powder,Trace Removal Powder,Polvere per la rimozione delle tracce,
NEW,,"A specialized powder that 
eliminates fingerprints and DNA traces.",,,
,,False Identity Kit,False Identity Kit,Kit per le false identità,
NEW,,"A collection of fake IDs, 
licenses, and credentials.",,,
,,Negotiator's Manual,Negotiator's Manual,Manuale del negoziatore,
,,Convinces the enemy to leave you alone.,Convinces the enemy to leave you alone.,Convince il nemico a lasciarti in pace.,
,,Secure Transport Case,Secure Transport Case,Valigetta per trasporto sicura,
NEW,,"A reinforced briefcase with 
hidden compartments and alarm features.",,,
,,Premium Samples,Premium Samples,Campioni Premium,
NEW,,"A collection of premium perfume
samples used to showcase product quality.",,,
,,Encrypted Ledger,Encrypted Ledger,Registro crittografato,
NEW,,"A notebook containing coded 
records of transactions and clients.",,,
,,Street Blend,Street Blend,Mix da strada,
NEW,,"A potent chemical mixture that 
heightens awareness and reflexes.",,,
,,Urban Escape Routes Map,Urban Escape Routes Map,Mappa delle vie di fuga urbane,
NEW,,"A collection of routes and 
safe houses throughout the omega tower.",,,
,,Product Testing Kit,Product Testing Kit,Kit per testing,
NEW,,"A specialized kit for testing 
product purity and composition.",,,
NEW,,"A hearty stew with chunks of 
meat and vegetables.",,,
,,Fresh Bread,Fresh Bread,Pane fresco,
NEW,,"A freshly baked loaf of 
bread.
Simple but satisfying.",,,
,,Crisp Apple,Crisp Apple,Mela croccante,
NEW,,"A juicy apple that's perfectly
ripe.",,,
,,Cheese Wheel,Cheese Wheel,Forma di formaggio,
NEW,,"A wheel of cheese made from 
farm-fresh milk.
Rich and filling.",,,
,,Grilled Fish,Grilled Fish,Pesce alla griglia,
NEW,,"Grilled fish caught from local
waters.",,,
,,Wild Honey,Wild Honey,Miele selvatico,
NEW,,"A bottle of sweet honey 
harvested from forest hives.",,,
,,Mixed Nuts,Mixed Nuts,Noci miste,
NEW,,"Crunchy nuts gathered from 
ancient trees.",,,
,,Fruit Pastry,Fruit Pastry,Pasticceria alla frutta,
NEW,,"A sweet pastry filled with 
fruit jam.",,,
,,Herbal Tea,Herbal Tea,Tisana,
NEW,,"A refreshing medicinal tea 
made from rare herbs.",,,
,,Spicy Curry,Spicy Curry,Curry piccante,
NEW,,"A spicy dish that sets the 
taste buds on fire.",,,
,,Wild Berries,Wild Berries,Bacche selvatiche,
NEW,,"A handful of berries picked 
from mountain bushes.",,,
,,Wisdom Elixir,Wisdom Elixir,Elisir di saggezza,
NEW,,"A ceremonial drink brewed from
ancient recipes.",,,
,,Roasted Vegetables,Roasted Vegetables,Verdure arrostite,
NEW,,"A roasted vegetable dish with 
savory herbs.",,,
,,Gourmet Chocolate,Gourmet Chocolate,Cioccolato gourmet,
NEW,,"A luxurious chocolate dessert 
made by master confectioners.",,,
,,Meat Pie,Meat Pie,Torta di carne,
NEW,,"A hearty meat pie with flaky 
crust.",,,
,,Spring Water,Spring Water,Acqua di sorgente,
NEW,,"Clear, refreshing water from a
mountain spring.",,,
,,Berry Punch,Berry Punch,Punch di bacche,
NEW,,"A sweet and tangy fruit punch 
made from local berries.",,,
,,Fresh Milk,Fresh Milk,Latte fresco,
NEW,,"A thick, creamy milk from 
grass-fed cows.",,,
,,Mint Tea,Mint Tea,Tè alla menta,
NEW,,"A soothing herbal tea with 
minty undertones.",,,
,,Fresh Lemonade,Fresh Lemonade,Limonata fresca,
NEW,,"A bright, citrusy lemonade 
made from fresh lemons.",,,
,,Strong Coffee,Strong Coffee,Caffè forte,
NEW,,"A rich, caffeinated brew that 
awakens the senses.",,,
,,Coconut Smoothie,Coconut Smoothie,Frullato di cocco,
NEW,,"A sweet coconut milk drink 
with tropical flavors.",,,
,,Hot Chocolate,Hot Chocolate,Cioccolata calda,
NEW,,"A hot chocolate drink with 
whipped cream on top.",,,
,,Strong Ale,Strong Ale,Ale forte,
NEW,,"A strong, amber ale brewed by 
local craftsmen.",,,
,,Aged Wine,Aged Wine,Vino invecchiato,
NEW,,"A fine wine aged in oak 
barrels.",,,
,,Potent Whiskey,Potent Whiskey,Whisky potente,
NEW,,"A potent spirit distilled from
fermented grain.",,,
,,Honey Mead,Honey Mead,Miele di idromele,
NEW,,"A light, bubbly mead made from
honey.",,,
,,Dragon's Breath Cocktail,Dragon's Breath Cocktail,Cocktail al respiro del drago,
NEW,,"A fiery, colorful cocktail 
with exotic spices.",,,
,,Berserker's Brew,Berserker's Brew,Infuso del Berserker,
NEW,,"An ancient brew said to be 
favored by berserkers.",,,
,,Fizzy Soda,Fizzy Soda,Soda frizzante,
NEW,,"A fizzy, carbonated drink with
sweet fruit flavors.",,,
,,Spaghetti Bolognese,Spaghetti Bolognese,Spaghetti Bolognese,
NEW,,"Classic pasta with rich tomato
sauce and herbs.",,,
,,Pizza Margherita,Pizza Margherita,Pizza Margherita,
NEW,,"Fresh pizza topped with 
mozzarella and basil.",,,
,,Mushroom Risotto,Mushroom Risotto,Risotto ai funghi,
NEW,,"Creamy rice dish cooked with 
mushrooms and Parmesan.",,,
,,Beef Carpaccio,Beef Carpaccio,Carpaccio di manzo,
NEW,,"Thin slices of beef topped 
with arugula and Parmesan.",,,
,,Arancini,Arancini,Arancini,
NEW,,"Fried rice balls stuffed with 
cheese and meat.",,,
,,Lasagna,Lasagna,Lasagna,
NEW,,"Rich layers of pasta, sauce, 
and cheese.",,,
,,Bruschetta,Bruschetta,bruschetta,
NEW,,"Crispy bread topped with 
tomatoes and olive oil.",,,
,,Panna Cotta,Panna Cotta,Panna Cotta,
NEW,,"Sweet custard dessert with 
caramelized sugar.",,,
,,Tiramisu,Tiramisu,Tiramisù,
NEW,,"Coffee-flavored dessert with 
layers of mascarpone.",,,
,,Stuffed Conchiglioni,Stuffed Conchiglioni,Conchiglioni ripieni,
NEW,,"Pasta shells stuffed with 
cheese and herbs.",,,
,,Prosciutto e Melone,Prosciutto e Melone,Prosciutto e Melone,
NEW,,"Thin slices of cured ham with 
melon.",,,
,,Fritto Misto,Fritto Misto,Fritto Misto,
NEW,,"Crispy seafood and vegetable 
fritters.",,,
,,Osso Buco,Osso Buco,Osso Buco,
NEW,,"Slowly cooked veal shanks with
gremolata.",,,
,,Spaghetti Carbonara,Spaghetti Carbonara,Spaghetti Carbonara,
NEW,,"Pasta with egg, cheese, 
pancetta, and pepper.",,,
,,Struffoli,Struffoli,Struffoli,
NEW,,"Crispy fried bread dough 
drizzled with honey.",,,
,,Wagyu Steak,Wagyu Steak,Bistecca di Wagyu,
NEW,,"A masterfully prepared steak 
with truffle butter.",,,
,,Beluga Caviar,Beluga Caviar,Caviale Beluga,
NEW,,"Delicate fish eggs with subtle
briny flavor.",,,
,,Black Truffle Risotto,Black Truffle Risotto,Risotto al tartufo nero,
NEW,,"Black truffles elegantly 
folded into creamy risotto.",,,
,,Foie Gras Cognac Jelly,Foie Gras Cognac Jelly,Gelatina di foie gras al cognac,
NEW,,"Decadent duck liver pâté with 
cognac jelly.",,,
,,Butter-Poached Lobster,Butter-Poached Lobster,Aragosta al burro,
NEW,,"Perfectly tender lobster in 
rich butter sauce.",,,
,,Sautéed Matsutake Mushrooms,Sautéed Matsutake Mushrooms,Funghi Matsutake saltati,
NEW,,"Rare mushrooms sautéed with 
herbs and garlic.",,,
,,Saffron Bouillabaisse,Saffron Bouillabaisse,Bouillabaisse allo zafferano,
NEW,,"Exquisite saffron-infused 
seafood stew.",,,
,,Gold-Flecked Soufflé,Gold-Flecked Soufflé,Soufflé con macchie d'oro,
NEW,,"A perfect chocolate dessert 
with gold leaf.",,,
,,Garden Inspiration Salad,Garden Inspiration Salad,Insalata del giardiniere,
NEW,,"A symphony of flavors with 
edible flowers.",,,
,,72-Hour Sous Vide Rib,72-Hour Sous Vide Rib,Costine sottovuoto 72 ore,
NEW,,"Premium beef slow-cooked to 
perfection.",,,
,,Exotic Fruit Sculpture,Exotic Fruit Sculpture,Scultura di frutta esotica,
NEW,,"Exotic fruits sculpted into an
edible masterpiece.",,,
,,Cardamom Rose Macarons,Cardamom Rose Macarons,Maccheroni alla rosa e cardamomo,
NEW,,"Delicate sweet with an 
extraordinary flavor profile.",,,
,,Smoke-Infused Culinary Illusion,Smoke-Infused Culinary Illusion,Illusione culinaria infusa di fumo,
NEW,,"A masterpiece of molecular 
gastronomy with smoke.",,,
,,Cherry-Glazed Duck with Star Anise,Cherry-Glazed Duck with Star Anise,Anatra glassata con anice stellato,
NEW,,"Tender duck glazed with cherry
and star anise.",,,
,,Kopi Luwak Gold Reserve,Kopi Luwak Gold Reserve,Caffè Luwak Gold Reserve,
NEW,,"The rarest coffee beans, 
perfectly prepared.",,,
,,Deluxe Cheeseburger,Deluxe Cheeseburger,Cheeseburger Deluxe,
NEW,,"A juicy burger with cheese, 
lettuce, and special sauce.",,,
,,Crispy French Fries,Crispy French Fries,Patatine fritte croccanti,
NEW,,"Crispy, golden fries with salt
and ketchup.",,,
,,Bucket o' Chicken,Bucket o' Chicken,Secchio di pollo,
NEW,,"Fried chicken pieces with a 
crunchy coating.",,,
,,Jumbo Cola,Jumbo Cola,Jumbo Cola,
NEW,,"A large, sweet carbonated 
drink.",,,
,,Pepperoni Pizza Slice,Pepperoni Pizza Slice,fetta di pizza al salame piccante,
NEW,,"Thin-crust pizza with 
pepperoni and extra cheese.",,,
,,Cheese Pretzel,Cheese Pretzel,Pretzel al formaggio,
NEW,,"A soft, warm pretzel with salt
and cheese dip.",,,
,,Spicy Chicken Sandwich,Spicy Chicken Sandwich,Panino al pollo piccante,
NEW,,"Deep-fried spicy chicken in a 
soft bun with sauce.",,,
,,Onion Rings,Onion Rings,Anelli di cipolla,
NEW,,"Crispy onion rings battered 
and deep-fried.",,,
,,Chocolate Shake,Chocolate Shake,Frullato al cioccolato,
NEW,,"A frozen sweet treat with 
chocolate syrup.",,,
,,Beef Taco,Beef Taco,Taco di manzo,
NEW,,"A soft-shell taco with 
seasoned meat and cheese.",,,
,,Mozzarella Sticks,Mozzarella Sticks,Bastoncini di mozzarella,
NEW,,"Deep-fried mozzarella sticks 
with marinara sauce.",,,
,,Glazed Donut,Glazed Donut,Ciambella glassata,
NEW,,"A sugary pastry with colorful 
sprinkles.",,,
,,Triple Burger Combo Meal,Triple Burger Combo Meal,Menù combo triplo hamburger,
NEW,,"A fully loaded meal deal with 
burger, fries, and drink.",,,
,,Breakfast Sandwich,Breakfast Sandwich,Panino per la colazione,
NEW,,"A breakfast sandwich with egg,
cheese, and bacon.",,,
,,Hot Fudge Sundae,Hot Fudge Sundae,Coppa gelato al cioccolato caldo,
NEW,,"A sweet, rich ice cream sundae
with toppings.",,,
,,Rock-Hard Bread,Rock-Hard Bread,Pane duro come la roccia,
NEW,,"A stale, hardened bread that 
might break teeth.",,,
,,Mystery Meat,Mystery Meat,Carne misteriosa,
NEW,,"A strange meat of dubious 
origin.",,,
,,Leftover Gruel,Leftover Gruel,Avanzi indefiniti,
NEW,,"Yesterday's leftovers mixed 
into an unidentifiable slop.",,,
,,Suspicious Soup,Suspicious Soup,Zuppa sospetta,
NEW,,"Watery broth with floating 
bits of something...",,,
,,Expired Cheese,Expired Cheese,Formaggio scaduto,
NEW,,"Moldy cheese that should have 
been thrown away.",,,
,,Burnt Beans,Burnt Beans,Fagioli bruciati,
NEW,,"Beans burnt beyond 
recognition.
Crunchy in all the wrong ways.",,,
,,Day-Old Fish,Day-Old Fish,Pesce vecchio di un giorno,
NEW,,"Fish that's been sitting out 
too long.",,,
,,Lumpy Porridge,Lumpy Porridge,Porridge grumoso,
NEW,,"Tasteless mush with lumps 
throughout.",,,
,,Watery Vegetable Soup,Watery Vegetable Soup,Zuppa di verdure acquosa,
NEW,,"Water with a few questionable 
vegetables floating in it.",,,
,,Sprouting Potato,Sprouting Potato,Patata germogliata,
NEW,,"A sad-looking potato that's 
been sitting around.",,,
,,Bruised Apple,Bruised Apple,Mela ammaccata,
NEW,,"A mushy apple with brown spots
throughout.",,,
,,Charred Toast,Charred Toast,Toast carbonizzato,
NEW,,"Burned beyond recognition, but
still edible.",,,
,,Cheap Protein Bar,Cheap Protein Bar,Barretta proteica economica,
NEW,,"The cheapest meat substitute 
imaginable.",,,
,,Moldy Risotto,Moldy Risotto,Risotto ammuffito,
NEW,,"Has a greenish tint and smells
like feet.",,,
,,Unholy Food Abomination,Unholy Food Abomination,Abominio del cibo profano,
NEW,,"The absolute worst food 
imaginable.",,,
,,Canned Processed Meat,Canned Processed Meat,Carne lavorata in scatola,
NEW,,"Mass-produced canned meat with
preservatives.",,,
,,Cheese-Flavored Crisps,Cheese-Flavored Crisps,Patatine al formaggio,
NEW,,"Cheese-flavored snack with 
artificial coloring.",,,
,,Instant Noodle Pack,Instant Noodle Pack,Confezione di noodles istantanei,
NEW,,"Pre-packaged noodles with 
flavor packet.",,,
,,Vigor tonic,Vigor tonic,Tonico energizzante,
NEW,,"Artificially colored sugar 
water with preservatives.",,,
,,Nutrient-Fortified Bar,Nutrient-Fortified Bar,Barretta arricchita con nutrienti,
NEW,,"Compressed nutrition bar with 
synthetic vitamins.",,,
,,Colorful Sugar Cereal,Colorful Sugar Cereal,Cereali colorati,
NEW,,"A breakfast cereal with 
artificial colors and flavors.",,,
,,Cream-Filled Snack Cake,Cream-Filled Snack Cake,Torta merenda ripiena di crema,
NEW,,"A pastry that never seems to 
expire.",,,
,,Microwaved Meat Patty,Microwaved Meat Patty,Polpetta di carne al microonde,
NEW,,"Pre-cooked, frozen, and 
reheated meat patty.",,,
,,Canned Vegetables,Canned Vegetables,Verdure in scatola,
NEW,,"Vegetables preserved in salt 
and chemicals.",,,
,,Colorful Gelatin Dessert,Colorful Gelatin Dessert,Dessert di gelatina colorata,
NEW,,"Fruit-flavored gelatin with 
artificial colors.",,,
,,Potato Crisps,Potato Crisps,Patatine,
NEW,,"Reconstituted potato substance
formed into chips.",,,
,,Microwave Dinner,Microwave Dinner,Cena al microonde,
NEW,,"A frozen meal heated in 
minutes.",,,
,,Meat Substitute Patty,Meat Substitute Patty,Polpetta di carne sostitutiva,
NEW,,"Synthetic meat alternative 
made from soy protein.",,,
,,Chocolate-Flavored Bar,Chocolate-Flavored Bar,Barretta al gusto di cioccolato,
NEW,,"Chocolate-like substance that 
doesn't quite melt.",,,
,,Tactical Field Ration,Tactical Field Ration,Razione tattica da campo,
NEW,,"Military-grade long-lasting 
complete meal.",,,
,,Luminous Stardrop,Luminous Stardrop,Goccia di stella luminosa,
NEW,,"A shimmering blue fruit with 
crystalline flesh.",,,
,,Moonberry,Moonberry,Lunarbacca,
NEW,,"A rare fruit that grows only 
in moonlight.",,,
,,Spiralberry,Spiralberry,Spiralbacca,
NEW,,"A spiral-shaped purple fruit 
with hypnotic patterns.",,,
,,Dragon's Breath Fruit,Dragon's Breath Fruit,Frutto del respiro del drago,
NEW,,"A fiery red fruit that 
sparkles with energy.",,,
,,Golden Sunfruit,Golden Sunfruit,Frutto del sole d’oro,
NEW,,"A golden fruit from the 
highest mountains.",,,
,,Crystal Nectar Fruit,Crystal Nectar Fruit,Frutto del nettare cristallino,
NEW,,"A translucent fruit filled 
with rainbow nectar.",,,
,,Mana Pomegranate,Mana Pomegranate,Melomano,
NEW,,"A multi-chambered fruit with 
pulsing blue membranes.",,,
,,Void Starfruit,Void Starfruit,Carambola del Vuoto,
NEW,,"A black, star-shaped fruit 
with tiny pinpoints of light.",,,
,,Cloudberry Puff,Cloudberry Puff,Soffio di lampone artico,
NEW,,"A floating, airy fruit that 
defies gravity.",,,
,,Prismatic Shimmerberry,Prismatic Shimmerberry,Bacca scintillante prismatica,
NEW,,"A shimmering fruit that 
changes colors as it ripens.",,,
,,Abyssal Glowfruit,Abyssal Glowfruit,Frutto luminoso abissale,
NEW,,"A fruit from the deepest ocean
trenches.",,,
,,Fae's Enchantberry,Fae's Enchantberry,Bacca fatata,
NEW,,"A mythical fruit said to grow 
only in fairy realms.",,,
,,Ember Pepper Berry,Ember Pepper Berry,Bacca di pepe ardente,
NEW,,"A tiny, vibrant fruit that 
grows in volcanic soil.",,,
,,Eclipse Fruit,Eclipse Fruit,Frutto dell'eclissi,
NEW,,"A legendary fruit that appears
only during eclipses.",,,
,,Midnight Whispermelon,Midnight Whispermelon,Sussurro di mezzanotte,
NEW,,"A fruit that only ripens at 
the stroke of midnight.",,,
,,Premium Sashimi,Premium Sashimi,Sashimi Premium,
NEW,,"A rare delicacy of raw fish 
and seasoned rice.",,,
,,Spiced Biryani,Spiced Biryani,Biryani speziato,
NEW,,"Fragrant rice cooked with 
spices and vegetables.",,,
,,Dim Sum Assortment,Dim Sum Assortment,Assortimento di Dim Sum,
NEW,,"Small steamed dumplings filled
with exotic ingredients.",,,
,,Moroccan Tagine,Moroccan Tagine,Tagine marocchino,
NEW,,"Slow-cooked meat stew with 
olives and preserved lemons.",,,
,,Spicy Kimchi,Spicy Kimchi,Kimchi piccante,
NEW,,"Fermented cabbage with a spicy
kick.
Tangy and invigorating.",,,
,,Spiced Kebabs,Spiced Kebabs,Kebab speziati,
NEW,,"Grilled meat skewers with 
exotic spices.",,,
,,Turkish Ice Cream,Turkish Ice Cream,gelato turco,
NEW,,"Sweet, stretchy ice cream with
unique texture.",,,
,,Honey Baklava,Honey Baklava,Baklava al miele,
NEW,,"Thin pastry layered with nuts 
and honey.",,,
,,Tom Kha Soup,Tom Kha Soup,Zuppa Tom Kha,
NEW,,"Spicy soup with coconut milk 
and exotic herbs.",,,
,,Stuffed Paratha,Stuffed Paratha,Paratha ripieno,
NEW,,"Flatbread stuffed with spiced 
potatoes and vegetables.",,,
,,Tropical Fruit Salad,Tropical Fruit Salad,Macedonia di frutta tropicale,
NEW,,"Assorted tropical fruits with 
a hint of lime and spice.",,,
,,Leaf-Wrapped Fish,Leaf-Wrapped Fish,Pesce avvolto in foglie,
NEW,,"Grilled fish wrapped in banana
leaves with herbs.",,,
,,Seafood Gumbo,Seafood Gumbo,Gumbo ai frutti di mare,
NEW,,"A rich stew of okra, 
vegetables, and shrimp.",,,
,,Fresh Spring Rolls,Fresh Spring Rolls,Involtini primavera freschi,
NEW,,"Fresh vegetables and herbs 
rolled in rice paper.",,,
,,Kopi Luwak Coffee,Kopi Luwak Coffee,Caffè Kopi Luwak,
NEW,,"The world's most expensive 
coffee with unique flavor.",,,
,,Beef Pho,Beef Pho,Pho di manzo,
NEW,,"Tender slices of beef in a 
savory broth with noodles.",,,
,,Mango Sticky Rice,Mango Sticky Rice,Riso glutinoso al mango,
NEW,,"Sticky rice with sweet mango 
and coconut cream.",,,
,,Xiao Long Bao,Xiao Long Bao,Xiao Long Bao,
NEW,,"Bite-sized pork dumplings with
a savory filling.",,,
,,Salmon Nigiri,Salmon Nigiri,Nigiri di salmone,
NEW,,"Thinly sliced raw fish served 
on seasoned rice.",,,
,,Pad Thai,Pad Thai,Pad Thai,
NEW,,"Stir-fried noodles with 
vegetables and protein.",,,
,,Bibimbap,Bibimbap,Bibimbap,
NEW,,"Hot stone bowl with rice, 
vegetables, and egg.",,,
,,Shabu-Shabu,Shabu-Shabu,Shabu-Shabu,
NEW,,"Thinly-sliced beef and 
vegetables served with sauce.",,,
,,Sundubu Jjigae,Sundubu Jjigae,Sundubu Jigyo,
NEW,,"Soft tofu in a spicy, bubbling
stew with seafood.",,,
,,Peking Duck,Peking Duck,Anatra alla pechinese,
NEW,,"Crispy duck with thin pancakes
and hoisin sauce.",,,
,,Tteok in Red Bean Soup,Tteok in Red Bean Soup,Tteok in zuppa di fagioli rossi,
NEW,,"Chewy rice cakes in a sweet 
red bean soup.",,,
,,Gua Bao,Gua Bao,Gua Bao,
NEW,,"Crispy meats and vegetables 
with a tangy sauce.",,,
,,Okonomiyaki,Okonomiyaki,Okonomiyaki,
NEW,,"Savory pancakes filled with 
seafood and vegetables.",,,
,,Tom Yum Goong,Tom Yum Goong,Tom Yum Goong,
NEW,,"A sour and spicy soup with 
prawns and lemongrass.",,,
,,Red Bean Baozi,Red Bean Baozi,Baozi di fagioli rossi,
NEW,,"Bite-sized steamed buns with a
sweet filling.",,,
,,Five-Spice Braised Pork,Five-Spice Braised Pork,Maiale brasato alle cinque spezie,
NEW,,"Slow-cooked meat with aromatic
five-spice blend.",,,
,,Roasted Boar Haunch,Roasted Boar Haunch,Coscia di cinghiale arrosto,
NEW,,"A massive roasted leg of wild 
boar.",,,
,,Pheasant in Wine Sauce,Pheasant in Wine Sauce,Fagiano in salsa di vino,
NEW,,"Game birds slow-cooked in rich
wine sauce.",,,
,,Venison Pottage,Venison Pottage,Minestra di cervo,
NEW,,"Tender venison stewed with 
root vegetables.",,,
,,Venison Pasty,Venison Pasty,Pasticcio di cervo,
NEW,,"Meat sealed in pastry with 
spices and gravy.",,,
,,Huntsman's Stew,Huntsman's Stew,Stufato del cacciatore,
NEW,,"A rich mixture of game meats 
stewed together.",,,
,,Roasted Hare,Roasted Hare,Lepre arrosto,
NEW,,"Rabbit meat slow-roasted with 
herbs and bacon.",,,
,,Bacon-Wrapped Squab,Bacon-Wrapped Squab,Piccione avvolto nella pancetta,
NEW,,"Pigeon wrapped in bacon and 
roasted to perfection.",,,
,,Salted Bear Meat,Salted Bear Meat,Carne di orso salata,
NEW,,"A rare delicacy of bear meat 
preserved in salt.",,,
,,Roast Hart,Roast Hart,Arrosto di cervo,
NEW,,"Meat from the prized forest 
stag, spit-roasted.",,,
,,Roasted Venison Heart,Roasted Venison Heart,Cuore di cervo arrosto,
NEW,,"Tender deer heart, considered 
a trophy by hunters.",,,
,,Braised Mountain Goat,Braised Mountain Goat,Capra di montagna brasata,
NEW,,"Wild mountain goat slowly 
simmered until tender.",,,
,,Blood Sausage,Blood Sausage,Salsiccia di sangue,
NEW,,"Intestines stuffed with minced
meat and herbs.",,,
,,Venison Jerky,Venison Jerky,Carne secca di cervo,
NEW,,"Meat dried in strips with salt
and spices.",,,
,,Smoked Boar Neck,Smoked Boar Neck,Collo di cinghiale affumicato,
NEW,,"The fatty neck meat of a 
forest boar, smoked.",,,
,,Royal Swan Roast,Royal Swan Roast,Arrosto di cigno reale,
NEW,,"A royal dish of swan prepared 
for feasts.",,,
,,Dragon Fang,Dragon Fang,Zanna di drago,
NEW,,"A massive fang from a dragon's
maw.",,,
,,Elemental Water Scales,Elemental Water Scales,Scaglie d’acqua elementari,
NEW,,"Shimmering scales from a water
elemental.",,,
,,Golem Core,Golem Core,Nucleo di golem,
NEW,,"A pulsing orb harvested from a
fallen golem.",,,
,,Pixie Wings,Pixie Wings,Ali di folletto,
NEW,,"The translucent wings of a 
fairy creature.",,,
,,Unicorn Horn,Unicorn Horn,Corno di unicorno,
NEW,,"A horn from the legendary 
unicorn.",,,
,,Banshee Tears,Banshee Tears,Lacrime di banshee,
NEW,,"Crystalized tears from a 
banshee.",,,
,,Werewolf Claw,Werewolf Claw,Artiglio del lupo mannaro,
,,The claw of a savage werewolf.,The claw of a savage werewolf.,L'artiglio di un lupo mannaro selvaggio.,
,,Vampiric Wood Splinter,Vampiric Wood Splinter,Scheggia di legno vampirico,
,,A piece of a vampire's coffin.,A piece of a vampire's coffin.,Un pezzo della bara di un vampiro.,
,,Beholder Eyestalk,Beholder Eyestalk,Occhio dell'osservatore,
NEW,,"The eye of a beholder 
creature.",,,
,,Eldritch Tentacle,Eldritch Tentacle,Tentacolo cosmico,
,,Tentacle from a cosmic horror.,Tentacle from a cosmic horror.,Tentacolo di un orrore cosmico.,
,,Sentinel CPU,Sentinel CPU,CPU di una sentinella,
NEW,,"A circuit board from a 
mechanical sentinel.",,,
,,Void Plasma,Void Plasma,Plasma del vuoto,
NEW,,"A gel-like substance from a 
dimensional rift.",,,
,,Spectral Shroud,Spectral Shroud,Velo spettrale,
NEW,,"The tattered shroud of a 
vengeful ghost.",,,
,,Alien Alloy Fragment,Alien Alloy Fragment,Frammento di lega aliena,
NEW,,"A metal chunk from a fallen 
alien exoskeleton.",,,
,,Zombie Hand,Zombie Hand,Mano di zombi,
NEW,,"The severed hand of a 
reanimated corpse.",,,
,,Crystalized Ooze,Crystalized Ooze,Melma cristallizzata,
NEW,,"Hardened slime from an acidic 
ooze creature.",,,
,,Griffin Egg,Griffin Egg,Uovo di grifone,
NEW,,"A strange egg from a mythical 
griffin.",,,
,,Gigant Beetle Carapace,Gigant Beetle Carapace,Carapace di coleottero gigante,
NEW,,"A segment of exoskeleton from 
a giant insect.",,,
,,Manticore Tail,Manticore Tail,Coda di manticora,
NEW,,"Tail of a manticore, complete 
with poisonous barbs.",,,
,,Frozen Dragon Breath,Frozen Dragon Breath,Respiro del drago congelato,
NEW,,"Crystallized breath from an 
ice drake.",,,
,,Shadow Essence,Shadow Essence,Essenza d'ombra,
NEW,,"Remains of a shadow creature 
that slipped between dimensions.",,,
